total_id,scientificName,kingdomName,phylumName,className,orderName,familyName,redlistCategory,marine_regions,url
190203/21909299,Chauliodus danae,ANIMALIA,CHORDATA,ACTINOPTERYGII,STOMIIFORMES,STOMIIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/190203/21909299
190324/21909314,Chauliodus sloani,ANIMALIA,CHORDATA,ACTINOPTERYGII,STOMIIFORMES,STOMIIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/190324/21909314
190291/21909319,Chirostomias pliopterus,ANIMALIA,CHORDATA,ACTINOPTERYGII,STOMIIFORMES,STOMIIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/190291/21909319
18256560/21909324,Echiostoma barbatum,ANIMALIA,CHORDATA,ACTINOPTERYGII,STOMIIFORMES,STOMIIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/18256560/21909324
190108/21909329,Eustomias achirus,ANIMALIA,CHORDATA,ACTINOPTERYGII,STOMIIFORMES,STOMIIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/190108/21909329
190371/21909334,Eustomias bimargaritatus,ANIMALIA,CHORDATA,ACTINOPTERYGII,STOMIIFORMES,STOMIIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/190371/21909334
21132983/21909339,Eustomias dendriticus,ANIMALIA,CHORDATA,ACTINOPTERYGII,STOMIIFORMES,STOMIIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/21132983/21909339
21132986/21909344,Eustomias enbarbatus,ANIMALIA,CHORDATA,ACTINOPTERYGII,STOMIIFORMES,STOMIIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/21132986/21909344
18256883/21909349,Eustomias filifer,ANIMALIA,CHORDATA,ACTINOPTERYGII,STOMIIFORMES,STOMIIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/18256883/21909349
21132989/21909354,Eustomias fissibarbis,ANIMALIA,CHORDATA,ACTINOPTERYGII,STOMIIFORMES,STOMIIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/21132989/21909354
21132997/21909359,Eustomias lipochirus,ANIMALIA,CHORDATA,ACTINOPTERYGII,STOMIIFORMES,STOMIIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/21132997/21909359
21133000/21909364,Eustomias macronema,ANIMALIA,CHORDATA,ACTINOPTERYGII,STOMIIFORMES,STOMIIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/21133000/21909364
